,simu_time,car_num,x_position,y_position,x_acce(m^2/s),y_acce(m^2/s),length(m),speed(m/s),LateralSpeed(m/s),accelaration(m^2/s),angel(du),roadID,LaneID,Lane_index,lane_position
93,11.0,zhongxinghuoche.2,9.7,-8.0,-4.552872340241447,0.0,9.6,0.0,0.0,0.0,90.0,H,H_2,2.0,9.7
94,12.0,dakeche.1,58.72033800485078,-1.6,0.0,0.0,11.0,11.771277475752868,0.0,1.7080458848271522,90.0,H,H_4,4.0,58.72033800485078
95,12.0,dakeche.2,24.06706662585493,-1.6,-4.880994929815642,0.0,11.0,6.890282545937226,0.0,2.5713661299785606,90.0,H,H_4,4.0,24.06706662585493
96,12.0,daxinghuoche.0,75.19951202261727,-11.2,2.8328224191674964,0.0,13.0,9.723104965104723,0.0,0.856050303007942,90.0,H,H_1,1.0,75.19951202261727
97,12.0,daxinghuoche.1,34.74492417007332,-11.2,-3.4544429565735317,0.0,13.0,6.268662008531191,0.0,1.0747965913731603,90.0,H,H_1,1.0,34.74492417007332
98,12.0,daxinghuoche.2,13.100000000000001,-11.2,-6.268662008531191,0.0,13.0,0.0,0.0,0.0,90.0,H,H_1,1.0,13.1
99,12.0,tedaxinghuoche.0,33.8092498503509,-14.4,5.287004021147732,0.0,16.0,5.287004021147732,0.0,1.0668585397885186,90.0,H,H_0,0.0,33.8092498503509
100,12.0,xiaokeche.1,8.51397428052711,-14.4,-2.349146381317514,0.0,4.0,2.937857639830218,0.0,1.4617409991333261,90.0,H,H_0,0.0,8.51397428052711
101,12.0,xiaoxinghuoche.0,70.66646139702061,-4.8,7.910116369015414,0.0,6.0,10.847974008845632,0.0,1.061511142784731,90.0,H,H_3,3.0,70.66646139702061
102,12.0,xiaoxinghuoche.1,32.721989770000796,-4.8,-4.3455921461456475,0.0,6.0,6.502381862699985,0.0,0.806530439446214,90.0,H,H_3,3.0,32.721989770000796
103,12.0,xiaoxinghuoche.2,10.952443438215816,-4.8,-3.938370401957325,0.0,6.0,2.56401146074266,0.0,0.9787503799423578,90.0,H,H_3,3.0,10.952443438215816
104,12.0,zhongxinghuoche.0,70.54922861536033,-8.0,7.286867307601752,0.0,9.6,9.850878768344412,0.0,0.6636261763400402,90.0,H,H_2,2.0,70.54922861536033
105,12.0,zhongxinghuoche.1,29.108738934167196,-8.0,-4.348633456195241,0.0,9.6,5.502245312149171,0.0,0.9493729719077235,90.0,H,H_2,2.0,29.108738934167196
106,12.0,zhongxinghuoche.2,10.76398866759846,-8.0,-4.438256644550711,0.0,9.6,1.06398866759846,0.0,1.06398866759846,90.0,H,H_2,2.0,10.76398866759846
107,13.0,dakeche.1,72.61331787263043,-1.6,0.0,0.0,11.0,13.89297986777965,0.0,2.1217023920267817,90.0,H,H_4,4.0,72.61331787263043
108,13.0,dakeche.2,33.07442667584401,-1.6,-4.885619817790573,0.0,11.0,9.007360049989076,0.0,2.11707750405185,90.0,H,H_4,4.0,33.07442667584401
109,13.0,dakeche.3,11.1,-1.6,-9.007360049989076,0.0,11.0,0.0,0.0,0.0,90.0,H,H_4,4.0,11.1
110,13.0,daxinghuoche.0,85.87905973354354,-11.2,10.679547710926274,0.0,13.0,10.679547710926274,0.0,0.9564427458215512,90.0,H,H_1,1.0,85.87905973354354
111,13.0,daxinghuoche.1,41.78322214946011,-11.2,-3.641249731539486,0.0,13.0,7.038297979386788,0.0,0.7696359708555969,90.0,H,H_1,1.0,41.78322214946011
112,13.0,daxinghuoche.2,14.060146141378208,-11.2,-6.078151838008578,0.0,13.0,0.9601461413782091,0.0,0.9601461413782091,90.0,H,H_1,1.0,14.060146141378208
113,13.0,tedaxinghuoche.0,40.01917365312111,-14.4,5.249777661391999,0.0,16.0,6.209923802770208,0.0,0.9229197816224763,90.0,H,H_0,0.0,40.01917365312111
114,13.0,xiaokeche.1,13.163143200619054,-14.4,-1.560754882678265,0.0,4.0,4.6491689200919435,0.0,1.7113112802617256,90.0,H,H_0,0.0,13.163143200619054
115,13.0,xiaoxinghuoche.0,82.18084146858891,-4.8,6.865211151476361,0.0,6.0,11.514380071568304,0.0,0.6664060627226718,90.0,H,H_3,3.0,82.18084146858891
116,13.0,xiaoxinghuoche.1,39.939986749773375,-4.8,-4.296383091795726,0.0,6.0,7.217996979772578,0.0,0.7156151170725931,90.0,H,H_3,3.0,39.939986749773375
117,13.0,xiaoxinghuoche.2,14.312481028536716,-4.8,-3.857959389451678,0.0,6.0,3.3600375903209,0.0,0.79602612957824,90.0,H,H_3,3.0,14.312481028536716
118,13.0,zhongxinghuoche.0,81.24168587542373,-8.0,7.332419669742487,0.0,9.6,10.692457260063387,0.0,0.841578491718975,90.0,H,H_2,2.0,81.24168587542373
119,13.0,zhongxinghuoche.1,35.85101195705356,-8.0,-3.9501842371770213,0.0,9.6,6.742273022886366,0.0,1.2400277107371949,90.0,H,H_2,2.0,35.85101195705356
120,13.0,zhongxinghuoche.2,12.85674661481753,-8.0,-4.649515075667296,0.0,9.6,2.09275794721907,0.0,1.02876927962061,90.0,H,H_2,2.0,12.85674661481753
121,14.0,dakeche.1,88.7328985014232,-1.6,0.0,0.0,11.0,16.119580628792754,0.0,2.2266007610131044,90.0,H,H_4,4.0,88.7328985014232
122,14.0,dakeche.2,44.17469743541442,-1.6,-5.01930986922234,0.0,11.0,11.100270759570414,0.0,2.0929107095813375,90.0,H,H_4,4.0,44.17469743541442
123,14.0,dakeche.3,12.780095800943672,-1.6,-9.420174958626742,0.0,11.0,1.6800958009436728,0.0,1.6800958009436728,90.0,H,H_4,4.0,12.780095800943673
124,14.0,daxinghuoche.0,97.79892938573612,-11.2,10.239773851248902,0.0,13.0,11.919869652192576,0.0,1.240321941266302,90.0,H,H_1,1.0,97.79892938573612
125,14.0,daxinghuoche.1,49.66751418303538,-11.2,-4.035577618617302,0.0,13.0,7.8842920335752735,0.0,0.8459940541884858,90.0,H,H_1,1.0,49.66751418303538
126,14.0,daxinghuoche.2,16.176108254643623,-11.2,-5.76832992030986,0.0,13.0,2.115962113265414,0.0,1.155815971887205,90.0,H,H_1,1.0,16.176108254643623
127,14.0,tedaxinghuoche.0,47.30368891344406,-14.4,5.168553147057537,0.0,16.0,7.2845152603229515,0.0,1.074591457552743,90.0,H,H_0,0.0,47.30368891344406
128,14.0,xiaokeche.1,19.745455847912964,-14.4,-0.7022026130290397,0.0,4.0,6.582312647293912,0.0,1.9331437272019683,90.0,H,H_0,0.0,19.745455847912964
129,14.0,xiaoxinghuoche.0,94.7170236040838,-4.8,5.953869488200982,0.0,6.0,12.536182135494894,0.0,1.0218020639265895,90.0,H,H_3,3.0,94.7170236040838
130,14.0,xiaoxinghuoche.1,48.14692172044887,-4.8,-4.329247164819392,0.0,6.0,8.206934970675501,0.0,0.9889379909029232,90.0,H,H_3,3.0,48.14692172044887
131,14.0,xiaoxinghuoche.2,18.730356201085854,-4.8,-3.7890597981263623,0.0,6.0,4.417875172549139,0.0,1.057837582228239,90.0,H,H_3,3.0,18.730356201085854
132,14.0,xiaoxinghuoche.3,6.1,-4.8,-4.417875172549139,0.0,6.0,0.0,0.0,0.0,90.0,H,H_3,3.0,6.1
133,14.0,zhongxinghuoche.0,92.81475225677715,-8.0,11.573066381353422,0.0,9.6,11.573066381353422,0.0,0.8806091212900355,90.0,H,H_2,2.0,92.81475225677715
134,14.0,zhongxinghuoche.1,43.26891617805231,-8.0,-4.155162160354669,0.0,9.6,7.417904220998754,0.0,0.6756311981123879,90.0,H,H_2,2.0,43.26891617805231
135,14.0,zhongxinghuoche.2,16.20986749721924,-8.0,-4.064783338597046,0.0,9.6,3.3531208824017082,0.0,1.2603629351826382,90.0,H,H_2,2.0,16.20986749721924
136,15.0,dakeche.2,56.96901279916056,-1.6,0.0,0.0,11.0,12.794315363746138,0.0,1.6940446041757244,90.0,H,H_4,4.0,56.96901279916056
137,15.0,dakeche.3,16.599178999080323,-1.6,-8.975232165609487,0.0,11.0,3.8190831981366506,0.0,2.138987397192978,90.0,H,H_4,4.0,16.599178999080323
